word,a,b,c,d,corpusId,realpseudo
restiarante,1,1.26381561658672,0.5,1,spanish-random,pseudo
autobys,1,-0.591945722958835,0.5,1,spanish-random,pseudo
cuaderno,1,-1.07649670360286,0.5,1,spanish-random,real
restaurante,1,-0.189099618006643,0.5,1,spanish-random,real
desayunar,1,-0.778239342231989,0.5,1,spanish-random,real
mnemotéquico,1,-0.361398317681831,0.5,1,spanish-random,pseudo
cocinar,1,-1.7388137146238,0.5,1,spanish-random,real
parque,1,-1.7600544530776,0.5,1,spanish-random,real
pequevo,1,-0.151114835462613,0.5,1,spanish-random,pseudo
tren,1,-1.211348564014,0.5,1,spanish-random,real
jurásimo,1,1.33085287523012,0.5,1,spanish-random,pseudo
guitarra,1,-0.664671495805888,0.5,1,spanish-random,real
lento,1,-1.36750719957183,0.5,1,spanish-random,real
pez,1,-1.55772983878564,0.5,1,spanish-random,real
fruta,1,-1.78524851645012,0.5,1,spanish-random,real
pluma,1,-1.89323007715734,0.5,1,spanish-random,real
oficina,1,-1.07606004111953,0.5,1,spanish-random,real
jardín,1,-1.268108341052,0.5,1,spanish-random,real
museo,1,-0.556794213970428,0.5,1,spanish-random,real
aburrido,1,-1.17826512404125,0.5,1,spanish-random,real
pitente,1,-0.0234730833891549,0.5,1,spanish-random,pseudo
pelácula,1,0.339459637293911,0.5,1,spanish-random,pseudo
guisanco,1,0.0471617209009227,0.5,1,spanish-random,pseudo
